Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
YT_RELATED.CIMki_bI96E,Content,【デニー崖っぷち】オール沖縄“最後の砦”が揺らぎ、沖縄が保守王国になる可能性浮上 #沖縄県知事選 #玉城デニー #オール沖縄 #古謝げんた #下地幹夫 #自民党 #高市早苗 #今野忍 #選挙ドットコム,1,100,1,0:13:37,0.2271
YT_RELATED.zZ0ETW5PkHQ,Content,キオクシア大暴落に巻き込まれた投死家の末路がバブリーだった件,0,,1,0:02:56,0.049
YT_RELATED.VolpY3RqNI0,Content,【漫画】一瞬で縁が切れる！どれだけ親しくても絶対に言ってはいけないこと7選,0,,1,0:00:34,0.0097
YT_RELATED.2CDq8uSpass,Content,幸せになるたった一つの習慣｜しあわせ心理学,0,,1,0:14:34,0.243
YT_RELATED.IGLf-WP8HUU,Content,【LIVE】玉城デニー再々戦に黄色信号。下地幹郎不出馬の影にシゴデキの影。令和の紀伊国屋の泣き言｜メルマガ「赤根智子」「みやチャン・ニュース・ライブ」（令和８年８月２６日　１６：００分〜）,0,,1,0:03:13,0.0536
YT_RELATED.D36KSq03-cs,Content,実力と運の関係性,1,100,1,0:04:03,0.0677
YT_RELATED.7GYHKBpDgEQ,Content,【学校では教えてくれない】1日15分で2倍覚えられる！スタンフォード式暗記術  【東大理三卒・元鉄緑会講師】,1,0,1,0:00:21,0.0061
YT_RELATED.V4QjIgnfBu0,Content,【配信直後 世界1位】見下されていた清掃員、実はAI級の頭脳を持つIQ160の天才だった,1,100,1,0:02:41,0.0448
YT_RELATED.MpcdS_JlqbA,Content,【一触即発】女子の定義を巡って論争の渦中にある女子バスケリーグを観戦しにいった元NBA選手エネスカンターフリーダムが会場から追い出される！リーグ関係者が語るリーグの方針とは・・・,0,,1,0:05:46,0.0963
YT_RELATED.OkDh_lFuI6g,Content,お金が貯まらない人と太っている人の共通点,0,,1,0:07:07,0.1189
YT_RELATED.nlc7oMsLnyY,Content,なぜファミコンは「テレビの2チャンネル」で映ったのか【ゆっくり解説】,0,,1,0:09:43,0.162
YT_RELATED.sAC7gJkQUJQ,Content,"妻の不倫を""愛の多様化""と言い張る相手…反省しない2人に夫が突きつけた",1,100,1,0:01:02,0.0173
YT_RELATED.aWgFx9J8AbM,Content,桂 文ぶん落語,0,,1,0:10:16,0.1713
YT_RELATED.-0PlyhXXdP4,Content,𝐑𝐞𝐥𝐚𝐱𝐢𝐧𝐠 𝐅𝐚𝐜𝐢𝐚𝐥 𝐂𝐥𝐞𝐚𝐧𝐬𝐢𝐧𝐠 𝐃𝐞𝐞𝐩 𝐒𝐤𝐢𝐧𝐜𝐚𝐫𝐞 𝐑𝐨𝐮𝐭𝐢𝐧𝐞 #6768,0,,1,0:11:28,0.1913
YT_RELATED.ikXasdk0Jx8,Content,【休日ルーティン】独身1人暮らしで結婚できないで男。自粛でも節約貯金のため自炊、料理！【1日1食】,0,,1,0:10:11,0.17
YT_RELATED.mpcbKe9P0lc,Content,いい人止まりを抜け出す！女性から見て本当に色気のある男性の特徴７選,0,,1,0:00:29,0.0083
YT_RELATED.xD50gEib3ao,Content,生きるために食べる！あの最高のSFメシ達を紹介！【ゆっくり解説】,0,,1,0:09:58,0.1663
YT_RELATED.ebBY4vyLSXY,Content,田中角栄の凄さが分かるスピーチ#総理大臣#中卒#心に刺さる#名言#聞かなきゃ損,1,0,1,0:00:07,0.0022
YT_RELATED.eth6hrNOlmI,Content,【必見】1979年放送の伝説のドラマをNetflixがリメイクしたら…？ 観た人が「人間が怖くなる」と語った衝撃的な作品,1,100,1,0:14:34,0.243
YT_RELATED.sbGpg9r_TU8,Content,秦基博の声になったジャイアン,0,,1,0:07:47,0.13
YT_RELATED.21XqrBwxCIM,Content,親子で料理！笠原家の【ソース焼きそば】を作ってみた,0,,1,0:00:01,0.0005
YT_RELATED.zlh6gZH_fXI,Content,8月27日マヤ暦新年〇〇しないと大損！財が拡大する金運行動🌈,0,,1,0:04:41,0.0781
YT_RELATED.wzfUrRdr5oc,Content,爆速で筋肉を成長させるモテ男がやってる３つの秘密,0,,1,0:14:34,0.243
YT_RELATED.MWGocAuUxeg,Content,【有益スレ】2026年のマイホーム、最近流行ってる・よく見かける家の特徴を教えて！【ガルちゃんまとめ】,1,100,1,0:15:16,0.2546
YT_RELATED.Nsq3nHwFX_s,Content,夢だった念願の日本で本物の日本食に大感激,1,0,0,,0
